共通項目,意味
継続処方,特段体調変化なく経過良好
コンプライアンス,服薬状況や飲み忘れなどもなくコンプライアンス良好
一包化,一包化による薬剤服用出来ているようす
カレンダー,薬剤カレンダーにより服用日確認し服用出来ている
お薬BOX,お薬BOXの残数などずれなく服用出来ている
薬の管理,保管方法、残薬の状況、一包化の必要性
OTC・サプリ・健康食品,他で購入している健康食品等はないことを再度確認
受診状況・他科受診,他院・他科の受診はないことを再度確認併用薬なし
服薬タイミング,服用タイミングが１日４回と多いが飲み忘れなく服用出来ている
保管環境,お薬を保管している場所に問題なし冷蔵の温度、湿気、高温環境等に気を付けて保管するように指導
家族支援,ご家族様管理で服用出来ているようす服用に問題なし
嚥下状況,嚥下機能低下により服用が難しくなってきている今回は変更なくてよいと聴取。次回医師と粉薬などの相談をするように指導
生活リズム,服用タイミングが無理なく生活リズムあっていることを確認継続に問題なし
食事状況,食事量や食事回数に大きな変動なく経過良好
健康意識,薬剤への理解良好アドヒアランス良好
